test_name,operation,target_frequency,actual_frequency,avg_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,success_rate,cpu_usage_percent,memory_usage_mb,total_operations,duration_seconds,timestamp
Low Frequency Reading,state_reading,50,42.52129500166627,0.021291333575581394,0.0019073486328125,0.6639957427978516,0.07074439112552802,100.0,0.0,59.5625,86,2.0225160121917725,2025-10-13 10:44:24
Medium Frequency Reading,state_reading,200,164.56004760412958,0.009663177259040602,0.0007152557373046875,0.1380443572998047,0.01466376741866346,100.0,0.4,59.78125,330,2.0053470134735107,2025-10-13 10:44:26
High Frequency Reading,state_reading,500,383.5756190633146,0.009917964537938436,0.0007152557373046875,0.4200935363769531,0.021114859060172263,100.0,0.9,59.796875,768,2.0022127628326416,2025-10-13 10:44:28
Position Control,control_command,100,82.17330934207936,0.01528768828420928,0.00095367431640625,0.3216266632080078,0.027840432418630608,100.0,0.4,55.3125,165,2.007951259613037,2025-10-13 10:44:30
Torque Control,control_command,100,79.88373511766773,0.011369585990905762,0.0,0.2338886260986328,0.02023307049238826,100.0,0.3,55.421875,160,2.002910852432251,2025-10-13 10:44:32
Mixed Control,control_command,100,84.36960269225774,0.012056361994094397,0.00095367431640625,0.5178451538085938,0.03973013169802852,100.0,0.3,55.375,169,2.0030910968780518,2025-10-13 10:44:34
Concurrent Operations 1 Threads,concurrent_operations,263792.7044025157,263792.7044025157,0.0037908554077148438,0,0,0,100.0,104.2,55.515625,100,0.0003790855407714844,2025-10-13 10:44:34
Concurrent Operations 2 Threads,concurrent_operations,633102.4905660377,633102.4905660377,0.0015795230865478516,0,0,0,100.0,108.6,55.578125,200,0.0003159046173095703,2025-10-13 10:44:34
Concurrent Operations 4 Threads,concurrent_operations,1044008.4629744866,1044008.4629744866,0.0009578466415405273,0,0,0,100.0,116.1,55.59375,400,0.00038313865661621094,2025-10-13 10:44:34
Concurrent Operations 8 Threads,concurrent_operations,1224614.306569343,1224614.306569343,0.0008165836334228516,0,0,0,100.0,119.5,55.65625,800,0.0006532669067382812,2025-10-13 10:44:34
Memory Allocation 100 Ops,memory_allocation,0,526261.4805520703,0.0019001960754394531,0,0,0,100.0,99.9,55.671875,100,0.0001900196075439453,2025-10-13 10:44:34
Memory Allocation 1000 Ops,memory_allocation,0,597734.6444349437,0.001672983169555664,0,0,0,100.0,100.0,55.671875,1000,0.001672983169555664,2025-10-13 10:44:34
Memory Allocation 10000 Ops,memory_allocation,0,690602.2985477657,0.0014480113983154298,0,0,0,100.0,99.7,55.671875,10000,0.014480113983154297,2025-10-13 10:44:34
Thread Safety 1.0s,thread_safety,0,9457976.944365159,0.00010573085617382232,0,0,0,100.0,99.9,55.6875,10102773,1.0681748390197754,2025-10-13 10:44:36
Thread Safety 2.0s,thread_safety,0,9522157.209032865,0.00010501821993144417,0,0,0,100.0,100.0,25.96875,19489989,2.0468039512634277,2025-10-13 10:44:40
Thread Safety 5.0s,thread_safety,0,9037420.76892105,0.00011065103922558504,0,0,0,100.0,97.8,19.96875,45735748,5.060708045959473,2025-10-13 10:44:50
Latency Distribution,latency_analysis,0,316910.0113335852,0.0031554698944091797,0.0,0.12111663818359375,0.007757337517079221,100.0,1.0,22.46875,1000,0.0031554698944091797,2025-10-13 10:44:52
Scalability Light Load,scalability,50,41.957681898992846,0.014087510487389944,0.0030994415283203125,0.08225440979003906,0.012150350489871271,100.0,0.4,26.734375,126,3.003025770187378,2025-10-13 10:44:55
Scalability Medium Load,scalability,200,159.23180542191665,0.020419204584225453,0.0,3.770112991333008,0.1735031550735429,100.0,0.6,26.75,478,3.001912832260132,2025-10-13 10:44:58
Scalability Heavy Load,scalability,500,371.20302933211644,0.01017174130068219,0.0,1.7619132995605469,0.06551404125206192,100.0,0.8,19.296875,1114,3.0010530948638916,2025-10-13 10:45:01
